Modelo,RMSE,MAE,R²,MAPE%
MLP,0.6555,0.5126,0.9746,3.39
Ridge-E3,0.7268,0.5686,0.9688,3.77
BayesianRidge,0.7268,0.5686,0.9688,3.77
BayesianRidge (tuned),0.7268,0.5686,0.9688,3.77
ElasticNet (tuned),0.7273,0.5656,0.9688,3.75
Ridge-E3 (tuned),0.7278,0.5694,0.9687,3.78
GradientBoosting (tuned),0.7558,0.5173,0.9663,3.14
MLP (tuned),0.7833,0.6157,0.9638,4.16
ElasticNet,0.8395,0.5922,0.9584,3.71
XGBoost,1.1858,0.6457,0.917,3.64
k-NN (k=7),1.614,1.1331,0.8462,6.92
k-NN (k=7) (tuned),1.7354,1.1452,0.8221,6.83
IPCC-Baseline,4.7261,3.9467,-0.3191,27.33
