Matriz,Metal,LMR (ppm),N_total,N_detectadas,% Detectado,Min,Media,Mediana,Max,SD,N_excede_LMR,% excede_LMR
Leche,Al,1.0,90,12,13.3,0.784,26.4643,22.2855,121.649,33.8571,10,83.3
Leche,As,0.2,90,81,90.0,0.15,2.41,2.06,7.03,1.4948,80,98.8
Leche,Cd,0.5,90,2,2.2,0.006,0.0115,0.0115,0.017,0.0078,0,0.0
Leche,Cr,0.05,90,90,100.0,0.246,1.3341,1.1005,23.557,2.4345,90,100.0
Leche,Cu,0.01,90,88,97.8,0.031,0.397,0.305,3.081,0.4174,88,100.0
Leche,Pb,1.0,90,68,75.6,0.016,1.2319,1.097,6.685,0.9983,36,52.9
Leche,Zn,0.3,90,1,1.1,0.806,0.806,0.806,0.806,,1,100.0
Pelo,Al,1.0,40,35,87.5,0.894,68.4424,16.3,765.512,141.1776,34,97.1
Pelo,As,0.2,40,38,95.0,0.149,6.9669,6.628,15.994,3.5667,37,97.4
Pelo,Cd,0.5,40,1,2.5,0.14,0.14,0.14,0.14,,0,0.0
Pelo,Cr,0.05,40,40,100.0,0.356,1.71,1.617,5.131,0.9229,40,100.0
Pelo,Cu,0.01,40,40,100.0,0.363,9.7153,8.184,45.73,6.9105,40,100.0
Pelo,Pb,1.0,40,36,90.0,0.165,5.7339,4.2815,30.086,5.307,35,97.2
Pelo,Zn,0.3,40,39,97.5,17.061,77.632,80.241,221.593,41.7926,39,100.0
Forraje,Al,1.0,20,20,100.0,94.852,510.2047,439.1575,1124.42,315.3955,20,100.0
Forraje,As,0.2,20,20,100.0,0.774,4.3018,4.373,9.891,2.3628,20,100.0
Forraje,Cd,0.5,20,6,30.0,0.04,1.5973,0.2025,8.403,3.344,2,33.3
Forraje,Cr,0.05,20,20,100.0,0.939,2.4092,2.127,4.348,1.0446,20,100.0
Forraje,Cu,0.01,20,20,100.0,1.727,5.2207,4.618,9.997,2.3119,20,100.0
Forraje,Pb,1.0,20,20,100.0,0.071,2.9824,2.7415,6.914,1.6887,19,95.0
Forraje,Zn,0.3,20,11,55.0,1.614,13.4363,15.461,31.604,9.3414,11,100.0
Agua,Al,1.0,18,2,11.1,8.371,8.504,8.504,8.637,0.1881,2,100.0
Agua,As,0.2,18,15,83.3,0.027,0.1072,0.096,0.232,0.0571,2,13.3
Agua,Cd,0.5,18,1,5.6,0.001,0.001,0.001,0.001,,0,0.0
Agua,Cr,0.05,18,2,11.1,0.001,0.0025,0.0025,0.004,0.0021,0,0.0
Agua,Cu,0.01,18,2,11.1,0.009,0.0135,0.0135,0.018,0.0064,1,50.0
Agua,Pb,1.0,18,14,77.8,0.01,0.0367,0.0295,0.109,0.0279,0,0.0
Agua,Zn,0.3,18,0,0.0,,,,,,0,0.0
