BRENDA Y SANDRA,,,,,,,,,
"AGUAS, LECTURA DIRECTA, SIN DIGESTIÓN",,,,,,,,,
,,,,,,,,,
Control interno-Identificación usuario,Lugar,Identificación de muestra,Al  ppm,As  ppm,Cd  ppm,Cr  ppm,Cu  ppm,Pb  ppm,Zn  ppm
216-1 agua,Lerma 1,Ab-1,8.637,0.217,0.001,nd,0.018,0.056,nd
217-2,,Ab-1*,8.371,0.093,nd,nd,0.009,0.058,nd
218-3,Lerma 2,G-1,nd,0.077,nd,nd,nd,0.016,nd
219-4,,G-1*,nd,0.232,nd,nd,nd,0.029,nd
220-5,Ocoyoacac 1,E-1,nd,0.13,nd,nd,nd,nd,nd
221-6,,E-1*,nd,0.027,nd,nd,nd,0.011,nd
222-7,San Agustín Chignahuapan 1,Ae-1,nd,0.031,nd,nd,nd,0.109,nd
223-8,,Ae-1*,nd,0.09,nd,nd,nd,0.01,nd
224-9,Ocoyoacac 2,T-1,nd,0.099,nd,nd,nd,nd,nd
225-10,,T-1*,nd,0.096,nd,nd,nd,0.043,nd
226-11,San Mateo 3,M-1,nd,0.08,nd,0.001,nd,0.017,nd
227-12,,M-1*,nd,0.154,nd,nd,nd,0.048,nd
228-13,San Mateo 2,R-1,nd,0.098,nd,nd,nd,0.06,nd
229-14,,R-1*,nd,0.084,nd,nd,nd,nd,nd
230-15,Lerma 3,N-1,nd,0.1,nd,nd,nd,0.03,nd
231-16,,N-1*,nd,nd,nd,0.004,nd,nd,nd
232-17,San Mateo 1,ME-1,nd,nd,nd,nd,nd,0.014,nd
233-18,,ME-1*,nd,nd,nd,nd,nd,0.013,nd
