BRENDA Y SANDRA,,,,,,,,,
FORRAJES,,,,,,,,,
1 g muestra,,,,,,,,,
,,,,,,,,,
Control interno-Identificación usuario,Lugar,Identificación de muestra,Al  ppm,As  ppm,Cd  ppm,Cr  ppm,Cu  ppm,Pb  ppm,Zn  ppm
236-1,Lerma 1,Ab-1,234.844,4.835,nd,1.01,7.693,2.769,4.514
237-2,,Ab-1*,302.18,5.986,nd,1.523,7.99,6.914,20.698
238-3,Lerma 2,G-1,581.864,6.691,0.694,3.558,6.311,2.806,1.614
239-4,,G-1*,425.864,4.415,0.348,2.855,6.246,3.188,7.277
240-5,Ocoyoacac 1,E-1,1124.42,4.885,8.403,3.81,6.064,5.283,22.635
241-6,,E-1*,1118.31,5.674,0.04,3.829,5.191,2.401,nd
242-7,San Agustín Chignahuapan 1,Ae-1,171.049,1.9,nd,0.939,3.521,1.486,nd
243-8,,Ae-1*,152.45,0.774,nd,1.12,2.639,1.591,nd
244-9,Ocoyoacac 2,T-1,372.409,1.199,nd,1.909,4.045,2.364,nd
245-10,,T-1*,452.451,4.951,0.057,1.673,3.518,2.714,7.369
246-11,San Mateo 3,M-1,124.639,4.307,nd,2.88,2.675,1.959,nd
247-12,,M-1*,94.852,4.331,nd,2.345,1.727,0.071,nd
248-13,San Mateo 2,R-1,395.042,2.559,nd,1.872,3.932,2.691,nd
249-14,,R-1*,349.167,7.327,0.042,1.611,3.514,3.415,3.947
250-15,Lerma 3,N-1,697.824,2.548,nd,2.58,9.997,2.837,16.152
251-16,,N-1*,758.553,6.788,nd,2.984,9.472,3.213,16.528
252-17,San Mateo 1,ME-1,631.527,1.97,nd,3.763,3.864,6.098,nd
253-18,,ME-1*,1018.65,9.891,nd,4.348,3.565,4.977,nd
254-19,San Mateo 1 Alimento,ME Al-1,602.057,3.537,nd,1.815,5.876,1.395,31.604
255-20,,ME Al-1*,595.942,1.467,nd,1.76,6.573,1.475,15.461
