BRENDA Y SANDRA,,,,,,,,,
PELO,,,,,,,,,
0.5 g muestra,,,,,,,,,
,,,,,,,,,
Control interno-Identificación usuario,Lugar,Identificación de muestra,Al  ppm,As  ppm,Cd  ppm,Cr  ppm,Cu  ppm,Pb  ppm,Zn  ppm
256,Lerma 1,Ab-1,40.404,0.52,nd,1.879,8.14,10.634,119.209
257,,Ab-2,40.537,7.375,nd,2.728,7.084,1.756,48.685
258,,Ab-3,14.429,10.164,nd,1.135,6.187,1.004,52.066
259,Lerma 2,G-1,165.268,4.674,nd,2.909,22.808,5.868,31.031
260,,G-2,189.259,11.934,nd,3.509,8.794,4.043,41.63
261,,G-3,168.624,nd,nd,1.308,6.892,2.329,56.213
262,Ocoyoacac 1,E-1,5.043,nd,nd,1.954,8.671,2.456,46.843
263,San Agustín Chignahuapan 1,Ae-1,39.564,5.196,nd,0.911,45.73,7.305,41.539
264,,Ae-2,12.622,14.059,nd,2.859,9.951,4.384,45.329
265,,Ae-3,7.167,7.96,nd,2.129,8.163,6.299,63.941
266,,Ae-4,3.223,15.994,0.14,1.35,5.472,1.714,87.019
267,,Ae-5,14.117,8.799,nd,1.819,12.525,8.445,175.013
268,,Ae-6,5.804,4.296,nd,0.887,7.299,5.277,86.006
269,,Ae-7,4.517,5.451,nd,1.399,8.17,2.47,90.578
270,,Ae-8,nd,6.49,nd,1.627,6.742,0.165,30.326
271,,Ae-9,3.373,6.852,nd,1.299,8.71,6.883,87.327
272,,Ae-10,10.91,12.934,nd,0.944,11.079,2.948,85.97
273,,Ae-11,16.3,2.525,nd,1.886,7.359,2.27,72.154
274,,Ae-12,33.642,5.122,nd,1.607,11.546,12.102,109.56
275,,Ae-13,0.894,5.507,nd,1.73,5.017,9.029,22.018
276,,Ae-14,39.191,8.745,nd,0.658,5.764,1.798,17.061
277,,Ae-15,5.351,4.119,nd,0.537,10.549,3.072,88.741
278,,Ae-16,2.261,9.766,nd,1.863,5.87,nd,67.754
279,,Ae-17,56.672,7.522,nd,1.019,17.32,30.086,221.593
280,San Mateo 3,M-1,nd,0.149,nd,0.732,8.35,nd,57.449
281,,M-2,nd,6.63,nd,1,6.359,1.608,36.665
282,,M-3,2.463,6.626,nd,0.792,6.469,6.158,54.115
283,,M-4,8.108,8.404,nd,0.356,12.602,5.648,115.521
284,San Mateo 2,R-1,23.797,9.545,nd,1.804,7.453,nd,82.761
285,,R-2,38.928,8.944,nd,1.426,14.331,13.175,167.528
286,,R-3,32.272,10.302,nd,1.685,11.596,2.077,81.123
287,,R-4,2.905,2.588,nd,1.236,11.248,7.758,88.294
288,Lerma 3,N-1,302.225,5.583,nd,2.722,6.397,1.505,81.502
289,,N-2,765.512,4.029,nd,1.958,9.175,4.179,89.651
290,,N-3,226.198,5.674,nd,5.131,5.589,nd,42.598
291,,N-4,74.534,1.223,nd,1.384,9.599,3.904,80.241
292,,N-5,27.966,10.842,nd,2.732,8.198,7.154,102.649
293,,N-6,nd,8.263,nd,2.265,6.538,8.269,65.176
294,San Mateo 1,ME-1,11.403,4.801,nd,2.445,8.501,9.275,94.768
295,,ME-2,nd,5.136,nd,0.786,0.363,3.373,nd
