BRENDA Y SANDRA,,,,,,,,,
LECHE,,,,,,,,,
1 mL muestra,,,,,,,,,
,,,,,,,,,
Control interno-Identificación usuario,Lugar,Identificación de muestra,Al  ppm,As  ppm,Cd  ppm,Cr  ppm,Cu  ppm,Pb  ppm,Zn  ppm
2734,San Mateo 3,M-1,2.307,2.118,nd,1.228,1.253,3.116,0.806
2735,,M-1*,nd,0.473,nd,0.479,0.387,0.591,nd
2736,,M-2,nd,4.742,nd,0.643,0.515,0.1,nd
2737,,M-2*,nd,3.523,nd,0.466,0.237,0.608,nd
2738,,M-3,nd,3.508,nd,0.5,0.16,2.362,nd
2739,,M-3*,nd,1.355,nd,0.285,0.232,1.416,nd
2740,,M-4,nd,1.583,nd,0.542,0.21,1.175,nd
2741,,M-4*,nd,2.315,nd,0.472,0.241,1.156,nd
2742,Lerma 3,N-1,nd,3.812,nd,1.275,0.197,nd,nd
2743,,N-1*,nd,2.721,nd,0.312,0.126,0.077,nd
2744,,N-2,nd,1.264,nd,0.718,0.434,1.203,nd
2745,,N-2*,nd,4.081,nd,1.58,0.239,1.225,nd
2746,,N-3,nd,1.633,nd,0.585,2.16,0.765,nd
2747,,N-3*,nd,nd,nd,0.481,0.164,0.07,nd
2748,,N-4,nd,0.567,nd,2.183,0.362,1.084,nd
2749,,N-4*,nd,2.716,nd,1.547,0.384,2.236,nd
2750,,N-5,nd,0.937,nd,0.987,0.296,1.347,nd
2751,,N-5*,18.621,4.497,nd,0.474,0.321,nd,nd
2752,Lerma 2,G-1,nd,2.346,nd,0.373,0.33,1.893,nd
2753,,G-1*,nd,0.824,nd,1.42,0.262,1.657,nd
2754,Lerma 1,Ab-1,nd,1.212,nd,1.104,1.622,2.969,nd
2755,,Ab-1*,nd,2.639,nd,0.406,0.381,0.212,nd
2756,,Ab-2,nd,nd,nd,0.495,nd,2.008,nd
2757,,Ab-2*,nd,1.54,nd,0.276,0.32,1.917,nd
2758,,Ab-3,nd,1.139,nd,23.557,0.252,0.078,nd
2759,,Ab-3*,1.187,1.098,nd,0.411,0.586,0.94,nd
2760,,Ab-4,37.359,5.908,nd,0.92,0.363,nd,nd
2761,,Ab-4*,42.569,1.691,nd,0.549,0.262,0.651,nd
2762,Ocoyoacac 1,E-1,nd,2.465,nd,0.91,0.402,nd,nd
2763,,E-1*,nd,1.247,nd,0.246,0.195,2.076,nd
