fecha,anio,mes,dia_semana,estacion,id_vaca,nombre_vaca,raza,sistema_produccion,edad_meses,numero_lactancia,peso_kg,temperatura_c,humedad_pct,precipitacion_mm,indice_thi,estres_termico,tipo_alimento,consumo_ms_kg,fibra_pct,proteina_dieta_pct,energia_mcal_kg,aditivo_1,aditivo_2,metano_g_dia,intensidad_metano,leche_kg_dia,grasa_pct,proteina_leche_pct,lactosa_pct,omega3_mg_l,antioxidantes_ppm,mastitis,celulas_somaticas,condicion_corporal
2024-01-01,2024,1,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,677.02,23.6,75.12,0,72.22,1,Omega Plus,22.78,29.74,16.03,1.8,Taninos,Ninguno,478.12,18.82,25.4,3.75,3.18,4.89,252.44,11.29,0,184219,2.57
2024-01-02,2024,1,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,704.62,21.55,72.77,2.99,68.88,0,Omega Plus,22.49,27.38,16.33,1.61,Taninos,Ninguno,475.88,18.06,26.35,3.87,3.17,4.77,255.21,8.58,0,175273,3.3
2024-01-03,2024,1,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,675.59,21.38,70.85,2.52,68.49,0,Omega Plus,20.26,28.95,17.17,1.53,Taninos,Ninguno,465.69,19.27,24.16,4.13,3.26,4.53,251.83,17.18,0,231267,3.45
2024-01-04,2024,1,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,680.4,21.62,72.42,10.68,68.95,0,Omega Plus,22.29,30.13,16.36,1.55,Taninos,Ninguno,486.43,19.11,25.46,4.12,3.21,4.86,239.41,14.9,0,145252,2.81
2024-01-05,2024,1,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,691.4,23.52,73.61,8.94,71.97,0,Omega Plus,22.12,33.07,16.78,1.36,Taninos,Ninguno,478.76,20.88,22.93,3.81,3.07,4.99,230.32,11.1,0,181412,3.42
2024-01-06,2024,1,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,680.58,27.19,69.32,0,77.07,1,Omega Plus,21.54,31.14,16.86,1.71,Taninos,Ninguno,482.62,20.2,23.89,3.99,3.35,4.9,225.15,10.93,0,155964,2.71
2024-01-07,2024,1,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,682.23,24.04,66.75,11.54,72.11,1,Omega Plus,21.76,29.74,16.55,1.52,Taninos,Ninguno,490.64,18.35,26.74,3.71,3.25,4.95,265.22,12.15,0,186632,3.58
2024-01-08,2024,1,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,691.28,22.96,75.63,0,71.27,0,Omega Plus,19.1,33.01,17.89,1.59,Taninos,Ninguno,486.07,19.28,25.22,3.45,3.34,4.6,256.34,11.86,1,642120,2.7
2024-01-09,2024,1,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,679.43,21.22,73.1,2.9,68.39,0,Omega Plus,22,33.01,16,1.69,Taninos,Ninguno,491.41,19.36,25.39,3.87,3.23,4.74,229.12,9.96,1,683387,3
2024-01-10,2024,1,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,676.45,27.09,73.7,0,77.48,1,Omega Plus,19.6,31.35,18.33,1.98,Taninos,Ninguno,484.41,20.41,23.73,4.12,3.22,4.74,230.54,9.21,0,141311,3.45
2024-01-11,2024,1,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,678.76,23.98,75.09,12.5,72.82,1,Omega Plus,21.5,27.44,17.54,1.63,Taninos,Ninguno,456.3,18.82,24.24,3.85,3.23,4.51,227.72,9.97,0,181082,3.27
2024-01-12,2024,1,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,689.64,22.96,67.21,0,70.57,0,Omega Plus,20.69,29.41,16.09,1.76,Taninos,Ninguno,475.95,20.87,22.8,3.96,3.38,4.56,230.64,15.61,0,134329,3.08
2024-01-13,2024,1,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,666.28,22.57,69.65,2.67,70.18,0,Omega Plus,22.74,28.79,17.01,1.71,Taninos,Ninguno,458.51,17.05,26.89,3.64,3.11,4.95,239.3,17,0,157718,3.03
2024-01-14,2024,1,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,668.9,26.22,71.18,4.23,75.83,1,Omega Plus,23.26,30.7,16.69,1.49,Taninos,Ninguno,495.8,20.22,24.53,4.02,3.22,4.57,216.36,11.74,0,220346,2.65
2024-01-15,2024,1,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,682.65,21.75,77.48,8.78,69.52,0,Omega Plus,20.92,30.83,17.86,1.78,Taninos,Ninguno,494.32,21.54,22.94,3.7,3.14,4.65,255.96,10.53,0,153756,3.19
2024-01-16,2024,1,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,677.85,25.79,75.54,8.63,75.68,1,Omega Plus,19.71,31.49,20.57,1.54,Taninos,Ninguno,445.71,18.43,24.18,4.02,3.13,4.69,232.08,11.72,0,210867,2.95
2024-01-17,2024,1,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,670.71,24.12,76.13,0,73.13,1,Omega Plus,23.75,29.14,16.33,1.57,Taninos,Ninguno,483.64,19.19,25.2,3.54,3.11,4.5,221.08,11.07,0,224053,2.26
2024-01-18,2024,1,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,681.71,19.97,73.53,0,66.5,0,Omega Plus,19.81,26.76,17.13,1.78,Taninos,Ninguno,454.46,18.24,24.91,3.39,3.03,4.86,230.08,10.14,0,177709,2.84
2024-01-19,2024,1,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,684.9,23.06,75.68,0,71.43,0,Omega Plus,23.78,26.29,16.96,1.58,Taninos,Ninguno,462.67,16.17,28.62,3.86,3.11,4.54,232.19,12.38,0,191815,3.38
2024-01-20,2024,1,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,683.28,21.74,82.06,10.31,69.83,0,Omega Plus,21.7,29.06,17.11,1.62,Taninos,Ninguno,458.49,19.17,23.92,4.02,3.05,4.85,232.76,14.16,0,174711,2.38
2024-01-21,2024,1,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,682.62,26.13,71.63,5.41,75.75,1,Omega Plus,24.85,29.83,17.15,1.49,Taninos,Ninguno,501.28,20.71,24.2,3.48,3.26,4.54,237.37,10.65,0,180752,2.99
2024-01-22,2024,1,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,671.5,21.37,74.89,5.83,68.74,0,Omega Plus,19.41,30.66,16.91,1.65,Taninos,Ninguno,471.41,17.36,27.15,3.58,3.1,4.91,241.37,11,0,155876,3.25
2024-01-23,2024,1,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,685.3,21.49,69.4,2.82,68.55,0,Omega Plus,22.28,31.42,17.39,1.72,Taninos,Ninguno,475.25,18.15,26.18,3.84,3.29,4.66,243.24,11.47,0,215436,3.27
2024-01-24,2024,1,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,686.45,28.72,73,2.25,79.88,1,Omega Plus,21.77,30.6,16.64,1.48,Taninos,Ninguno,476.49,21.32,22.35,3.98,3.32,4.84,246.4,10.58,0,195081,2.96
2024-01-25,2024,1,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,692.88,25.22,79.43,14.35,75.21,1,Omega Plus,23.52,29.74,16.28,1.72,Taninos,Ninguno,492.53,19.62,25.1,3.77,2.91,4.41,234.5,14.48,0,152002,2.87
2024-01-26,2024,1,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,665.75,25.54,72.31,0,74.93,1,Omega Plus,20.44,25.9,17.04,1.32,Taninos,Ninguno,450.25,19.6,22.98,3.74,3.24,4.52,234.88,11.02,0,201002,2.88
2024-01-27,2024,1,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,661.78,28.93,69.38,5.59,79.68,1,Omega Plus,22.95,30.35,17.39,1.65,Taninos,Ninguno,454.91,18.03,25.23,3.79,3.06,4.82,232.36,10.72,0,172993,2.7
2024-01-28,2024,1,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,679.56,24.75,77.72,10.42,74.27,1,Omega Plus,20.18,31.14,15.13,1.57,Taninos,Ninguno,469.72,20.17,23.29,3.54,3.27,4.78,229.63,12.75,0,177733,3.31
2024-01-29,2024,1,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,688.21,25.79,84.4,5.12,76.66,1,Omega Plus,23.06,31.94,17.06,1.55,Taninos,Ninguno,509.71,21.04,24.23,3.85,3.14,4.56,247.45,8.84,0,153193,3.3
2024-01-30,2024,1,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,90,5,677.1,24.06,70.84,0,72.53,1,Omega Plus,20.64,29.86,17.25,1.66,Taninos,Ninguno,506.22,19.35,26.17,3.38,3.24,4.59,211.12,13.68,0,163080,3.45
2024-01-31,2024,1,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,678.51,26.26,74.14,10.13,76.25,1,Omega Plus,20.94,30.74,15.83,1.59,Taninos,Ninguno,482.41,18.65,25.87,3.58,3.22,4.78,251.07,12.08,0,213573,3.29
2024-02-01,2024,2,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,676.35,28.03,74.13,8.6,78.97,1,Omega Plus,26.55,26.55,17.32,1.5,Taninos,Ninguno,491.32,19.55,25.13,3.86,3.22,4.72,246.78,10.77,0,180926,2.94
2024-02-02,2024,2,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,678.44,28.96,72.98,10,80.25,1,Omega Plus,18.97,34.75,16.47,1.65,Taninos,Ninguno,486.49,22.33,21.79,3.81,3.2,4.98,223.94,15.12,0,147057,3
2024-02-03,2024,2,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,676.33,25.95,77.54,0,76.15,1,Omega Plus,21.82,30.81,16.48,1.78,Taninos,Ninguno,510.31,22.98,22.21,4.31,3.26,4.82,217.66,10.61,0,183768,2.96
2024-02-04,2024,2,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,662.31,27.87,71.68,0,78.4,1,Omega Plus,22.85,33.73,16.59,1.71,Taninos,Ninguno,495.66,19.97,24.81,3.61,3.16,4.72,228.57,10.85,0,152584,3.23
2024-02-05,2024,2,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,675.19,25.22,78.56,0,75.11,1,Omega Plus,20.79,31.15,18.35,1.65,Taninos,Ninguno,470.92,19.56,24.07,3.51,3.33,4.73,259.99,13.98,0,152561,2.99
2024-02-06,2024,2,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,672.62,27.39,71.85,14.72,77.69,1,Omega Plus,23.57,29.22,16.54,1.94,Taninos,Ninguno,490.7,19.81,24.78,3.76,3.28,4.42,217.47,10.95,0,173914,2.85
2024-02-07,2024,2,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,683.74,25.3,77.4,10.58,75.11,1,Omega Plus,23.83,30.48,16.61,1.64,Taninos,Ninguno,477.29,20.66,23.1,3.65,3.13,4.93,257.63,11.57,0,218682,3.13
2024-02-08,2024,2,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,679.49,24.84,77.4,7.71,74.39,1,Omega Plus,20.01,33.38,17.99,1.56,Taninos,Ninguno,488.44,19.41,25.16,4.26,3.38,4.79,256.94,10.37,0,191850,2.83
2024-02-09,2024,2,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,668.93,26.24,83.28,0,77.28,1,Omega Plus,21.87,29.19,16.58,1.7,Taninos,Ninguno,501.11,20.96,23.91,4.05,3.27,4.38,217.74,13.97,0,163690,2.85
2024-02-10,2024,2,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,684,29.27,67.47,0.55,79.91,1,Omega Plus,24.18,30.86,18.22,1.54,Taninos,Ninguno,505.64,22.58,22.4,3.8,3.33,4.55,263.93,13.19,0,195407,3.34
2024-02-11,2024,2,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,690.9,26.38,78.24,0,76.92,1,Omega Plus,23.15,29.86,17.57,1.57,Taninos,Ninguno,495.52,21.87,22.66,3.64,3.1,4.6,240.87,10.41,0,156123,2.99
2024-02-12,2024,2,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,688.5,27.41,72.41,6.46,77.79,1,Omega Plus,19.96,29.66,15.99,1.67,Taninos,Ninguno,455.83,18.52,24.61,3.53,3.13,4.83,254.99,11.84,0,182745,3.35
2024-02-13,2024,2,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,680.13,28.2,73.94,0.84,79.22,1,Omega Plus,21.47,26.5,17.52,1.63,Taninos,Ninguno,457.4,20.21,22.63,4.25,3.18,4.67,249.78,12.17,0,191894,3.31
2024-02-14,2024,2,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,672.24,29.81,72,8.15,81.4,1,Omega Plus,24.62,28.08,16.6,1.66,Taninos,Ninguno,496.83,22.77,21.82,4.19,3.36,4.72,252.39,11.56,0,211154,3.28
2024-02-15,2024,2,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,679.22,27.34,78.68,7.75,78.49,1,Omega Plus,26.16,28.6,17.85,1.52,Taninos,Ninguno,494.8,21.69,22.81,4.14,3.07,4.85,253.11,11.56,0,179856,2.98
2024-02-16,2024,2,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,696.6,27.57,71.37,17.58,77.91,1,Omega Plus,23.71,31.99,16.97,1.56,Taninos,Ninguno,497.07,21.11,23.54,3.96,3.34,4.79,263.09,14.03,1,724902,3.44
2024-02-17,2024,2,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,679.46,27.14,80.76,4.86,78.44,1,Omega Plus,22.12,32.89,15.91,1.75,Taninos,Ninguno,486.01,19.12,25.42,3.84,3.03,4.69,247.29,15.51,0,130709,3.34
2024-02-18,2024,2,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,687.82,26.31,77.9,0,76.76,1,Omega Plus,20.6,32.39,16.03,1.71,Taninos,Ninguno,471.54,20.14,23.41,3.68,3.25,4.51,221.92,6.9,0,203948,3.37
2024-02-19,2024,2,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,678.25,29.01,78.01,0,81.05,1,Omega Plus,23.2,30.56,17.69,1.42,Taninos,Ninguno,473.08,19.58,24.16,3.8,3.14,4.56,257.52,15.37,0,239883,3.21
2024-02-20,2024,2,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,679.85,27.54,80.97,4.88,79.11,1,Omega Plus,20.23,33.76,16.57,1.69,Taninos,Ninguno,494.98,20.57,24.06,3.51,3.37,4.64,247.32,17.59,0,165036,3.09
2024-02-21,2024,2,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,687.53,22.29,79.97,7.38,70.57,0,Omega Plus,23.63,31.56,16.67,1.44,Taninos,Ninguno,503.19,20.55,24.49,3.74,3.4,4.87,230.97,9.57,0,211761,2.94
2024-02-22,2024,2,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,675.51,26.58,76.15,4.64,76.98,1,Omega Plus,22.78,29.81,18.31,1.62,Taninos,Ninguno,464.87,18.33,25.36,3.87,3.32,4.7,237.5,12.95,0,164581,2.56
